,prompt,orig_completion,completion
0,New Users,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:-}"
1,Number of New Users in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:-}"
2,Number of New Users in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:-}"
3,Number of New Users in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:-}"
4,Repeat Users,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:-}"
5,Number of Repeat Users in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:-}"
6,Number of Repeat Users in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:-}"
7,Number of Repeat Users in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:-}"
8,Engaged Sessions per user,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:engaged_sessions_per_user,qf:-,qb:-}"
9,Number of Engaged Sessions per user in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:engaged_sessions_per_user,qf:-,qb:-}"
10,Number of Engaged Sessions per user in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:engaged_sessions_per_user,qf:-,qb:-}"
11,Number of Engaged Sessions per user in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""engaged_sessions_per_user"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:engaged_sessions_per_user,qf:-,qb:-}"
12,Avg session duration,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:average_session_duration,qf:-,qb:-}"
13,Number of Avg session duration in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:average_session_duration,qf:-,qb:-}"
14,Number of Avg session duration in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""average_session_duration"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""none"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:average_session_duration,qf:-,qb:-}"
